Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
AB	NA	NA	NA	NA	NA	NA
ABa	16	NA	NA	NA	NA	NA
ABal	17	4.5	6.8	9.5	12.8	9.6
ABala	21	13.1	15.5	13.3	13.9	12.2
ABalaa	29	21.9	24.3	20	20.7	24.6
ABalaaa	28	27.7	29.5	26.6	27.7	27.5
ABalaaaa	38	38	41.6	40	38.9	36.8
ABalaaaal	67	43	45.3	42.6	43.1	40.4
ABalaaaala	84	105.5	97.1	119.9	118.8	100.4
ABalaaaalal	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	99	95.2	118.4	102.8	95.2
ABalaaaalpa	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA
ABalaaaar	67	44.4	50.6	46.9	43.1	41.9
ABalaaaarl	74	81.2	80.5	80.4	102.8	107.4
ABalaaaarla	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA
ABalaaaarr	74	73.1	80.5	85	82.1	91.9
ABalaaaarra	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA
ABalaaap	38	32.2	36.3	31.9	30.4	32.2
ABalaaapa	57	45.8	48.7	45.2	48.6	46.5
ABalaaapal	54	76.1	74.5	75.2	75.6	73.4
ABalaaapall	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA
ABalaaapar	64	97.1	83.9	96.4	81.9	86.8
ABalaaaparl	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA
ABalaaapp	57	44.2	45.1	52.2	42.7	45
ABalaaappl	64	103.5	85.5	100	83.1	105.5
ABalaaappll	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA
ABalaaappr	54	75.9	78	78.8	84.7	76.6
ABalaaapprl	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA
ABalaap	28	26.2	31.2	26.6	26.3	26
ABalaapa	38	35.1	36.4	34.7	36	38.3
ABalaapaa	67	48.8	52.3	48	45.9	46.7
ABalaapaaa	84	110.5	86.1	NA	115.5	106
ABalaapaaal	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA
ABalaapaap	79	100.7	88	104.5	102.6	97.5
ABalaapaapa	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA
ABalaapap	67	48.8	50.6	46.7	47.4	46.7
ABalaapapa	NA	NA	NA	NA	NA	NA
ABalaapapp	54	89.3	82.1	83.1	83.6	85.5
ABalaapappa	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA
ABalaapp	38	32.2	32.8	30.6	31.8	32.2
ABalaappa	67	158.9	63	90.8	133.5	57.6
ABalaappaa	NA	NA	NA	NA	NA	NA
ABalaappap	54	NA	77.1	NA	NA	89.3
ABalaappapa	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA
ABalaappp	52	48.7	52.3	46.5	45.6	46.5
ABalaapppa	89	103.7	100.9	105.5	116.7	115.8
ABalaapppaa	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA
ABalaapppp	64	66.6	70.8	63.4	81.7	71.6
ABalaappppa	119	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA
ABalap	29	21.9	24.3	20	20.7	23
ABalapa	28	24.8	27.7	23.9	26.3	27.5
ABalapaa	38	33.6	36.3	34.6	34.7	33.7
ABalapaaa	47	45.7	52.3	45.2	47.3	48.1
ABalapaaaa	119	138.1	110.5	NA	109	128.3
ABalapaaaaa	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA
ABalapaaap	69	84	76.4	85.8	74.2	75.2
ABalapaaapa	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA
ABalapaap	48	44.2	48.8	46.6	45.8	48.1
ABalapaapa	98	96.9	108.3	96.5	117	98.9
ABalapaapaa	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA
ABalapaapp	63	71.2	72.5	72.4	78.8	68.5
ABalapaappa	109	NA	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA
ABalapap	38	30.7	34.5	33.2	30.4	32.2
ABalapapa	48	47.1	50.6	43.7	47.1	46.5
ABalapapaa	NA	NA	NA	NA	NA	NA
ABalapapap	63	71.2	74.4	75.1	69.2	66.6
ABalapapapa	119	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA
ABalapapp	42	41.1	47	46.5	42.8	43.3
ABalapappa	64	56.6	65	61.8	59.8	58.1
ABalapappaa	114	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA
ABalapappp	74	80.2	78	93.3	84.6	86.5
ABalapapppa	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA
ABalapp	28	24.8	27.7	26.6	26.3	27.5
ABalappa	38	33.6	38	37.3	36	38.3
ABalappaa	67	53.3	50.4	52.5	54.7	57.8
ABalappaaa	NA	NA	NA	NA	NA	NA
ABalappaap	99	130.6	110.5	NA	108.2	NA
ABalappaapa	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA
ABalappap	52	42.8	45.1	44	44.4	45.1
ABalappapa	104	132.9	104.3	NA	121.8	112.8
ABalappapaa	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA
ABalappapp	64	71	66.8	69.6	67.8	70.2
ABalappappa	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA
ABalappp	38	30.7	34.5	30.6	29	32.2
ABalapppa	48	42.7	47	39.5	41.2	40.2
ABalapppaa	83	82	81.7	82.2	82.7	84.6
ABalapppaaa	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA
ABalapppap	63	69.2	65	68.8	71.9	62.8
ABalapppapa	119	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA
ABalapppp	42	41.1	47	39.5	39.7	43.3
ABalappppa	64	56.6	61.3	58.6	54.9	59.8
ABalappppaa	114	NA	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA
ABalappppp	74	78.7	81.7	83.7	81.1	76.4
ABalapppppa	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA
ABalp	21	14.1	15.8	14.2	13.4	13.3
ABalpa	29	22	24.8	21.3	23.7	25.1
ABalpaa	28	26.6	28.3	24.1	25.3	26.7
ABalpaaa	38	37.7	40.7	38.2	41.7	38.5
ABalpaaaa	62	54	49.8	52.7	50.9	43.9
ABalpaaaaa	84	82	81.9	82.1	76.4	66.8
ABalpaaaaaa	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA
ABalpaaaap	84	85.4	76.1	82.1	74.7	86.8
ABalpaaaapa	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA
ABalpaaap	62	47.5	51.6	51.2	49.3	50.8
ABalpaaapa	109	88.5	78.1	96.4	101.7	94.7
ABalpaaapaa	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA
ABalpaaapp	104	81.6	72.5	83.5	96.5	83.7
ABalpaaappa	NA	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA	NA
ABalpaap	38	31.4	33.5	28.3	31.2	31.8
ABalpaapa	48	37.8	37.2	37.4	37.9	40.3
ABalpaapaa	78	89	71.3	72.6	68.4	75.3
ABalpaapaaa	NA	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA	NA
ABalpaapap	58	50.3	48.9	47.9	45.6	48.4
