Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
AB	NA	NA	NA	NA	NA
ABa	16	14.7	NA	NA	NA
ABal	17	14.7	3.3	5.1	5.8
ABala	21	16.9	17.8	15.2	14.8
ABalaa	29	26.9	24.3	22.9	23.9
ABalaaa	28	32	30.8	33.4	29.8
ABalaaaa	38	41	39	41.6	42.1
ABalaaaal	67	51.2	46.8	50	44.9
ABalaaaala	84	95.9	109	96.6	79.2
ABalaaaalal	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA
ABalaaaalp	129	90.3	87.3	83.1	94.2
ABalaaaalpa	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA
ABalaaaar	67	51.2	50.2	52.7	48
ABalaaaarl	74	90.3	76.7	69.6	119.7
ABalaaaarla	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA
ABalaaaarr	74	79	73.1	77.7	104.5
ABalaaaarra	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA
ABalaaap	38	37.6	35.8	33.7	36
ABalaaapa	57	45.7	48.3	47.3	46.2
ABalaaapal	54	82.4	76.6	72	75.7
ABalaaapall	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA
ABalaaapar	64	78.6	94.4	85.5	79
ABalaaaparl	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA
ABalaaapp	57	51.1	48.3	50	49.4
ABalaaappl	64	88.2	85.4	82.9	79.2
ABalaaappll	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA
ABalaaappr	54	80.7	74.7	69.4	80.8
ABalaaapprl	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA
ABalaap	28	32	30.8	33.4	31.3
ABalaapa	38	44.5	44	41.6	42.1
ABalaapaa	67	58.5	52.1	55.3	54.4
ABalaapaaa	84	NA	96.9	96.8	NA
ABalaapaaal	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA
ABalaapaap	79	70.2	86.1	85.9	76.5
ABalaapaapa	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA
ABalaapap	67	47.8	52.1	52.7	44.9
ABalaapapa	NA	65.9	105.9	NA	74.4
ABalaapapaa	NA	NA	NA	NA	NA
ABalaapapap	NA	NA	NA	NA	NA
ABalaapapp	54	73.4	75.3	64.2	89.3
ABalaapappa	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA
ABalaapp	38	37.6	37.4	36.3	37.5
ABalaappa	67	52.9	55.2	52.6	44.7
ABalaappaa	NA	NA	NA	NA	92.4
ABalaappaaa	NA	NA	NA	NA	NA
ABalaappaap	NA	NA	NA	NA	NA
ABalaappap	54	69.6	73.3	77.6	67.6
ABalaappapa	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA
ABalaappp	52	44	48.4	52.6	43.2
ABalaapppa	89	86	105.3	99.3	56.1
ABalaapppaa	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA
ABalaapppp	64	67.4	67.7	64.1	110.7
ABalaappppa	119	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA
ABalap	29	25.3	24.3	22.9	23.9
ABalapa	28	31.9	30.8	30.8	28.4
ABalapaa	38	39.3	35.8	36.3	39
ABalapaaa	47	58.3	48.3	50	57.4
ABalapaaaa	119	NA	121.5	NA	NA
ABalapaaaaa	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA
ABalapaaap	69	73.5	76.6	74.8	83
ABalapaaapa	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA
ABalapaap	48	49.3	45	50	49.5
ABalapaapa	98	NA	128.5	110	104.2
ABalapaapaa	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA
ABalapaapp	63	69.4	69.2	74.8	79.2
ABalapaappa	109	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA
ABalapap	38	34.1	34.2	33.7	35.9
ABalapapa	48	52.8	53.4	47.3	49.3
ABalapapaa	NA	84.3	NA	NA	104
ABalapapaaa	NA	NA	NA	NA	NA
ABalapapaap	NA	NA	NA	NA	NA
ABalapapap	63	69.4	76.7	63.9	69.2
ABalapapapa	119	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA
ABalapapp	42	54.6	46.6	47.3	46.2
ABalapappa	64	63.9	65.7	55.9	57.7
ABalapappaa	114	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA
ABalapappp	74	95.7	81.7	74.7	90.5
ABalapapppa	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA
ABalapp	28	31.9	30.8	30.8	29.8
ABalappa	38	42.7	40.6	38.9	43.6
ABalappaa	67	60.2	57	57.9	56
ABalappaaa	NA	NA	NA	NA	NA
ABalappaap	99	81.4	95.1	72.3	81.6
ABalappaapa	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA
ABalappap	52	47.7	46.8	47.3	49.6
ABalappapa	104	NA	89.2	NA	NA
ABalappapaa	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA
ABalappapp	64	67.6	66	66.7	69.7
ABalappappa	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA
ABalappp	38	37.6	35.8	33.7	37.5
ABalapppa	48	49.3	46.7	49.9	47.9
ABalapppaa	83	76.8	80	77.4	85.8
ABalapppaaa	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA
ABalapppap	63	67.5	64.1	66.6	92.4
ABalapppapa	119	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA
ABalapppp	42	51.1	48.3	49.9	43.3
ABalappppa	64	58.3	55.2	58.5	59.2
ABalappppaa	114	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA
ABalappppp	74	69.4	69.5	66.6	77.3
ABalapppppa	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA
ABalp	21	16.8	18.2	15.8	14.4
ABalpa	29	26.9	24.9	23.9	23.1
ABalpaa	28	30.1	28.2	32.2	27.4
ABalpaaa	38	42.7	39.9	40.6	42.1
ABalpaaaa	62	56.5	53	57.6	55.7
ABalpaaaaa	84	81	82.1	69.8	90.3
ABalpaaaaaa	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA
ABalpaaaap	84	82.9	69.3	78.3	108.4
ABalpaaaapa	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA
ABalpaaap	62	52.9	56.5	52.1	58.8
ABalpaaapa	109	92.1	84.1	81	106.9
ABalpaaapaa	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA
ABalpaaapp	104	NA	95.1	78.1	98.7
ABalpaaappa	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA
ABalpaap	38	35.7	34.8	32.5	31.9
ABalpaapa	48	43.8	42.5	43.8	40.1
ABalpaapaa	78	74.5	70.5	69.4	72.8
ABalpaapaaa	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA
ABalpaapap	58	54.3	49	49.9	56.9
ABalpaapapa	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA
ABalpaapp	57	49.1	51.1	49.3	49.2
ABalpaappa	74	89.7	83.5	80.7	95.8
ABalpaappaa	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA
ABalpaappp	64	74.7	79.9	72.3	73.3
ABalpaapppa	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA
ABalpap	28	30.1	28.2	29.5	27.4
ABalpapa	38	39.2	34.8	37.9	39.2
ABalpapaa	52	51	49.3	52.1	50.9
ABalpapaaa	59	67.5	70.7	66.8	78.6
ABalpapaaaa	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA
ABalpapaap	84	78.7	83.5	80.8	73.8
ABalpapaapa	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA
ABalpapap	52	51	47.7	49.4	49.4
ABalpapapa	59	69.4	72.5	72.4	70.5
ABalpapapaa	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA
ABalpapapp	79	65.7	74.4	72.4	88.2
ABalpapappa	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA
ABalpapp	38	35.7	33.2	35.2	34.7
ABalpappa	42	43.8	42.4	43.8	40.1
ABalpappaa	84	78.2	73.9	75	79.3
ABalpappaaa	NA	NA	NA	NA	NA
ABalpappaap	89	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA
ABalpappap	54	56.1	61.3	55.4	55.5
ABalpappapa	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA
ABalpappp	39	49.1	44.1	46.6	41.7
ABalpapppa	107	NA	112.5	106.2	121.4
ABalpapppaa	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA
ABalpapppp	47	54.4	49	49.9	57.1
ABalpappppa	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA
ABalpp	29	28.6	23.3	23.9	23.1
ABalppa	28	30.2	31.5	29.5	27.4
ABalppaa	38	42.8	43.2	40.6	43.6
ABalppaaa	62	62	53.1	54.9	55.7
ABalppaaaa	NA	NA	NA	NA	NA
ABalppaaap	64	NA	76.9	75.3	74.1
ABalppaaapa	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA
ABalppaap	57	53.1	51.4	54.9	48
ABalppaapa	NA	NA	NA	NA	NA
ABalppaapp	74	69.7	76.8	69.7	75.4
ABalppaappa	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA
ABalppap	38	35.8	34.8	35.2	36.3
ABalppapa	47	45.7	47.5	49.3	46.3
ABalppapaa	79	78.4	85.3	83.6	76.6
ABalppapaaa	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA
ABalppapap	74	72.8	79.9	75.1	81.4
ABalppapapa	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA
ABalppapp	42	43.9	44.1	43.8	43.3
ABalppappa	74	82	83.3	86.3	81.3
ABalppappaa	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA
ABalppappp	69	69	68.7	66.7	68.5
ABalppapppa	124	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA
ABalppp	28	28.5	29.9	29.5	26
ABalpppa	38	39.2	38.3	37.9	39.2
ABalpppaa	62	54.6	52.8	57.6	52.4
ABalpppaaa	79	86.4	91.2	83.8	86.6
ABalpppaaaa	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA
ABalpppaap	89	80.8	87.5	86.6	83.4
ABalpppaapd	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA
ABalpppap	52	45.7	49.4	49.4	44.8
ABalpppapa	74	93.4	83.8	80.8	84.5
ABalpppapad	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA
ABalpppapp	59	65.5	72.8	69.6	62.2
ABalpppappa	NA	NA	NA	NA	NA
ABalpppappp	94	NA	NA	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA
ABalpppp	38	35.7	34.8	35.2	33.3
ABalppppa	48	47.4	45.9	49.3	44.6
ABalppppaa	68	80.2	83.3	77.9	79.4
ABalppppaad	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA
ABalppppap	78	70.9	76	69.5	71.5
ABalppppapa	109	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA
ABalppppp	42	40.2	39	43.8	37.1
ABalpppppa	64	74.4	75.7	75	75.9
ABalpppppaa	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA
ABalpppppp	44	54.2	56	55.4	49.1
ABalppppppa	89	NA	85.8	NA	81.6
ABalppppppaa	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA
ABalppppppp	89	NA	89.5	NA	71.8
ABalpppppppa	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA
ABar	17	14.7	3.3	5.1	5.8
ABara	21	16.3	16.6	15.6	14.3
ABaraa	29	26	26.7	23.7	21.5
ABaraaa	28	30.9	30	31.8	28.7
ABaraaaa	38	46.4	40.1	42.9	40.5
ABaraaaaa	67	51.5	55.1	51.6	49.2
ABaraaaaaa	84	76.8	79.1	71.7	84.5
ABaraaaaaaa	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA
ABaraaaaap	89	85.9	75.4	74.5	84.5
ABaraaaaapa	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA
ABaraaaap	72	56.7	60.3	59.7	52.2
ABaraaaapa	79	NA	97.7	85.9	100.9
ABaraaaapaa	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA
ABaraaap	38	36.3	35	40.1	33.1
ABaraaapa	48	42.5	40.9	43.4	40
ABaraaapaa	73	79.5	76.3	74.3	77.3
ABaraaapaaa	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA
ABaraaapap	58	61.5	58.2	60.4	58.3
ABaraaapapa	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA
