Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
AB	NA	NA	NA	NA	NA
ABa	16	13.5	NA	NA	NA
ABal	17	13.5	3	4.7	6
ABala	21	15.1	16.5	14	15
ABalaa	29	24.1	22.6	21.3	24.1
ABalaaa	28	28.5	28.6	31	30.1
ABalaaaa	38	36.7	36.2	38.6	42.3
ABalaaaal	67	45.8	43.4	46.3	45.3
ABalaaaala	84	85.6	100.9	89.6	79.8
ABalaaaalal	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA
ABalaaaalp	129	80.6	80.9	77.1	94.8
ABalaaaalpa	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA
ABalaaaar	67	45.8	46.5	48.8	48.4
ABalaaaarl	74	80.6	71.1	64.6	120.6
ABalaaaarla	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA
ABalaaaarr	74	70.6	67.8	72.1	105.2
ABalaaaarra	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA
ABalaaap	38	33.6	33.2	31.3	36.3
ABalaaapa	57	40.9	44.7	43.9	46.5
ABalaaapal	54	73.6	71	66.7	76.3
ABalaaapall	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA
ABalaaapar	64	70.1	87.5	79.2	79.6
ABalaaaparl	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA
ABalaaapp	57	45.6	44.7	46.4	49.8
ABalaaappl	64	78.8	79.1	76.8	79.7
ABalaaappll	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA
ABalaaappr	54	72	69.2	64.3	81.4
ABalaaapprl	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA
ABalaap	28	28.5	28.6	31	31.6
ABalaapa	38	39.8	40.8	38.6	42.3
ABalaapaa	67	52.3	48.3	51.3	54.8
ABalaapaaa	84	NA	89.7	89.7	NA
ABalaapaaal	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA
ABalaapaap	79	62.7	79.7	79.7	77.1
ABalaapaapa	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA
ABalaapap	67	42.7	48.3	48.8	45.3
ABalaapapa	NA	58.9	98.2	NA	75
ABalaapapaa	NA	NA	NA	NA	NA
ABalaapapap	NA	NA	NA	NA	NA
ABalaapapp	54	65.6	69.7	59.6	90
ABalaapappa	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA
ABalaapp	38	33.6	34.7	33.7	37.8
ABalaappa	67	47.3	51.1	48.8	45
ABalaappaa	NA	NA	NA	NA	93
ABalaappaaa	NA	NA	NA	NA	NA
ABalaappaap	NA	NA	NA	NA	NA
ABalaappap	54	62.1	68	72	68.1
ABalaappapa	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA
ABalaappp	52	39.3	44.9	48.8	43.5
ABalaapppa	89	76.7	97.6	92.1	56.5
ABalaapppaa	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA
ABalaapppp	64	60.1	62.7	59.5	111.5
ABalaappppa	119	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA
ABalap	29	22.6	22.6	21.3	24.1
ABalapa	28	28.5	28.6	28.6	28.6
ABalapaa	38	35.1	33.2	33.6	39.3
ABalapaaa	47	52.1	44.7	46.4	57.8
ABalapaaaa	119	NA	112.5	NA	NA
ABalapaaaaa	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA
ABalapaaap	69	65.6	71	69.3	83.6
ABalapaaapa	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA
ABalapaap	48	44	41.6	46.4	49.9
ABalapaapa	98	NA	119.1	102	105
ABalapaapaa	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA
ABalapaapp	63	62	64.2	69.3	79.8
ABalapaappa	109	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA
ABalapap	38	30.5	31.7	31.3	36.2
ABalapapa	48	47.1	49.5	43.9	49.6
ABalapapaa	NA	75.2	NA	NA	104.8
ABalapapaaa	NA	NA	NA	NA	NA
ABalapapaap	NA	NA	NA	NA	NA
ABalapapap	63	62	71.1	59.2	69.6
ABalapapapa	119	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA
ABalapapp	42	48.7	43.1	43.9	46.5
ABalapappa	64	57.1	60.9	51.9	58.1
ABalapappaa	114	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA
ABalapappp	74	85.5	75.7	69.2	91.2
ABalapapppa	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA
ABalapp	28	28.5	28.6	28.6	30.1
ABalappa	38	38.2	37.7	36	43.8
ABalappaa	67	53.8	52.9	53.6	56.4
ABalappaaa	NA	NA	NA	NA	NA
ABalappaap	99	72.6	88.1	67.1	82.1
ABalappaapa	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA
ABalappap	52	42.5	43.4	43.9	50
ABalappapa	104	NA	82.6	NA	NA
ABalappapaa	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA
ABalappapp	64	60.3	61.1	61.8	70.1
ABalappappa	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA
ABalappp	38	33.6	33.2	31.3	37.8
ABalapppa	48	44	43.2	46.3	48.3
ABalapppaa	83	68.6	74.2	71.7	86.4
ABalapppaaa	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA
ABalapppap	63	60.3	59.4	61.7	93.1
ABalapppapa	119	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA
ABalapppp	42	45.6	44.7	46.3	43.5
ABalappppa	64	52.1	51.1	54.2	59.7
ABalappppaa	114	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA
