Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
AB	NA	NA	NA	NA	NA
ABa	16	14.7	NA	NA	NA
ABal	17	14.7	3.3	5.1	5.8
ABala	21	16.4	18.5	15.4	14.6
ABalaa	29	26.2	25.3	23.3	23.5
ABalaaa	28	31.1	32	33.9	29.4
ABalaaaa	38	39.9	40.6	42.2	41.4
ABalaaaal	67	49.8	48.6	50.8	44.3
ABalaaaala	84	93.3	113.2	98.1	78
ABalaaaalal	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA
ABalaaaalp	129	87.9	90.7	84.4	92.8
ABalaaaalpa	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA
ABalaaaar	67	49.8	52.2	53.5	47.3
ABalaaaarl	74	87.9	79.7	70.7	117.9
ABalaaaarla	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA
ABalaaaarr	74	76.8	76	78.9	103
ABalaaaarra	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA
ABalaaap	38	36.5	37.2	34.2	35.5
ABalaaapa	57	44.5	50.2	48	45.5
ABalaaapal	54	80.1	79.6	73.1	74.6
ABalaaapall	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA
ABalaaapar	64	76.4	98.1	86.8	77.8
ABalaaaparl	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA
ABalaaapp	57	49.7	50.2	50.8	48.7
ABalaaappl	64	85.8	88.8	84.2	78
ABalaaappll	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA
ABalaaappr	54	78.5	77.7	70.5	79.6
ABalaaapprl	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA
ABalaap	28	31.1	32	33.9	30.9
ABalaapa	38	43.3	45.7	42.2	41.4
ABalaapaa	67	56.9	54.1	56.1	53.6
ABalaapaaa	84	NA	100.7	98.3	NA
ABalaapaaal	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA
ABalaapaap	79	68.2	89.5	87.2	75.4
ABalaapaapa	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA
ABalaapap	67	46.5	54.1	53.5	44.3
ABalaapapa	NA	64.1	110.1	NA	73.3
ABalaapapaa	NA	NA	NA	NA	NA
ABalaapapap	NA	NA	NA	NA	NA
ABalaapapp	54	71.4	78.2	65.2	88
ABalaapappa	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA
ABalaapp	38	36.5	38.9	36.8	36.9
ABalaappa	67	51.5	57.4	53.4	44.1
ABalaappaa	NA	NA	NA	NA	91
ABalaappaaa	NA	NA	NA	NA	NA
ABalaappaap	NA	NA	NA	NA	NA
ABalaappap	54	67.7	76.2	78.8	66.6
ABalaappapa	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA
ABalaappp	52	42.8	50.3	53.4	42.5
ABalaapppa	89	83.6	109.4	100.8	55.2
ABalaapppaa	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA
ABalaapppp	64	65.5	70.4	65.1	109
ABalaappppa	119	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA
ABalap	29	24.6	25.3	23.3	23.5
ABalapa	28	31	32	31.3	27.9
ABalapaa	38	38.2	37.2	36.8	38.4
ABalapaaa	47	56.7	50.2	50.8	56.5
ABalapaaaa	119	NA	126.3	NA	NA
ABalapaaaaa	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA
ABalapaaap	69	71.5	79.6	75.9	81.7
ABalapaaapa	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA
ABalapaap	48	48	46.7	50.8	48.8
ABalapaapa	98	NA	133.5	111.7	102.7
ABalapaapaa	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA
ABalapaapp	63	67.5	72	75.9	78
ABalapaappa	109	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA
ABalapap	38	33.2	35.5	34.2	35.4
ABalapapa	48	51.4	55.5	48	48.6
ABalapapaa	NA	82	NA	NA	102.5
ABalapapaaa	NA	NA	NA	NA	NA
ABalapapaap	NA	NA	NA	NA	NA
ABalapapap	63	67.5	79.7	64.9	68.1
ABalapapapa	119	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA
ABalapapp	42	53.1	48.4	48	45.5
ABalapappa	64	62.1	68.3	56.8	56.8
ABalapappaa	114	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA
ABalapappp	74	93.1	84.9	75.8	89.2
ABalapapppa	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA
ABalapp	28	31	32	31.3	29.4
ABalappa	38	41.6	42.2	39.5	42.9
ABalappaa	67	58.6	59.3	58.7	55.1
ABalappaaa	NA	NA	NA	NA	NA
ABalappaap	99	79.1	98.9	73.4	80.4
ABalappaapa	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA
ABalappap	52	46.4	48.6	48	48.9
ABalappapa	104	NA	92.7	NA	NA
ABalappapaa	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA
ABalappapp	64	65.7	68.6	67.7	68.6
ABalappappa	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA
ABalappp	38	36.5	37.2	34.2	36.9
ABalapppa	48	48	48.5	50.6	47.2
ABalapppaa	83	74.7	83.2	78.6	84.5
ABalapppaaa	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA
ABalapppap	63	65.6	66.6	67.6	91
ABalapppapa	119	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA
ABalapppp	42	49.7	50.2	50.6	42.6
ABalappppa	64	56.7	57.4	59.4	58.3
ABalappppaa	114	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA
ABalappppp	74	67.5	72.2	67.6	76.1
ABalapppppa	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA
ABalp	21	16.4	18.5	15.4	14.6
ABalpa	29	26.2	25.3	23.3	23.5
ABalpaa	28	29.4	28.7	31.3	27.9
ABalpaaa	38	41.6	40.6	39.5	42.9
ABalpaaaa	62	55.1	53.8	56	56.7
ABalpaaaaa	84	78.9	83.4	67.8	91.9
ABalpaaaaaa	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA
ABalpaaaap	84	80.8	70.4	76	110.3
ABalpaaaapa	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA
ABalpaaap	62	51.6	57.4	50.6	59.8
ABalpaaapa	109	89.7	85.4	78.7	108.8
ABalpaaapaa	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA
ABalpaaapp	104	NA	96.6	75.9	100.4
ABalpaaappa	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA
ABalpaap	38	34.8	35.4	31.6	32.4
ABalpaapa	48	42.6	43.1	42.5	40.8
ABalpaapaa	78	72.6	71.6	67.4	74.1
ABalpaapaaa	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA
ABalpaapap	58	52.9	49.8	48.5	58
ABalpaapapa	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA
ABalpaapp	57	47.9	51.9	47.9	50
ABalpaappa	74	87.4	84.9	78.5	97.5
ABalpaappaa	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA
ABalpaappp	64	72.8	81.2	70.2	74.6
ABalpaapppa	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA
ABalpap	28	29.4	28.7	28.6	27.9
ABalpapa	38	38.2	35.4	36.8	39.9
ABalpapaa	52	49.7	50.1	50.6	51.8
ABalpapaaa	59	65.7	71.9	64.9	80
ABalpapaaaa	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA
ABalpapaap	84	76.6	84.9	78.6	75.1
ABalpapaapa	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA
ABalpapap	52	49.7	48.4	48	50.2
ABalpapapa	59	67.6	73.6	70.4	71.7
ABalpapapaa	NA	NA	NA	NA	NA
ABalpapapap	104	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA
ABalpapapp	79	64	75.6	70.4	89.7
ABalpapappa	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA
ABalpapp	38	34.8	33.7	34.2	35.4
ABalpappa	42	42.6	43	42.5	40.8
ABalpappaa	84	76.2	75.1	72.9	80.7
ABalpappaaa	NA	NA	NA	NA	NA
ABalpappaap	89	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA
ABalpappap	54	54.6	62.3	53.8	56.5
ABalpappapa	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA
ABalpappp	39	47.9	44.8	45.3	42.4
ABalpapppa	107	NA	114.3	103.2	123.6
ABalpapppaa	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA
ABalpapppp	47	53	49.8	48.5	58.2
ABalpappppa	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA
ABalpp	29	27.8	23.6	23.3	23.5
ABalppa	28	29.5	32	28.6	27.9
ABalppaa	38	41.7	43.9	39.5	44.4
ABalppaaa	62	60.4	53.9	53.4	56.7
ABalppaaaa	NA	NA	NA	NA	NA
ABalppaaap	64	NA	78.1	73.2	75.5
ABalppaaapa	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA
ABalppaap	57	51.7	52.2	53.4	48.9
ABalppaapa	NA	NA	NA	NA	NA
ABalppaapp	74	67.9	78	67.7	76.7
ABalppaappa	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA
ABalppap	38	34.9	35.4	34.2	36.9
ABalppapa	47	44.5	48.3	47.9	47.1
ABalppapaa	79	76.4	86.7	81.2	77.9
ABalppapaaa	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA
ABalppapap	74	71	81.2	73	82.8
ABalppapapa	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA
ABalppapp	42	42.8	44.8	42.5	44.1
ABalppappa	74	79.9	84.6	83.8	82.7
ABalppappaa	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA
ABalppappp	69	67.3	69.8	64.8	69.7
ABalppapppa	124	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA
ABalppp	28	27.7	30.3	28.6	26.5
ABalpppa	38	38.2	38.9	36.8	39.9
ABalpppaa	62	53.2	53.7	56	53.4
ABalpppaaa	79	84.1	92.6	81.4	88.2
ABalpppaaaa	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA
ABalpppaap	89	78.7	88.9	84.2	84.9
ABalpppaapd	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA
ABalpppap	52	44.5	50.2	48	45.6
ABalpppapa	74	91	85.1	78.6	86
ABalpppapad	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA
ABalpppapp	59	63.8	74	67.6	63.3
ABalpppappa	NA	NA	NA	NA	NA
ABalpppappp	94	NA	NA	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA
ABalpppp	38	34.8	35.4	34.2	33.9
ABalppppa	48	46.1	46.6	47.9	45.4
ABalppppaa	68	78.2	84.6	75.7	80.8
ABalppppaad	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA
ABalppppap	78	69.1	77.2	67.5	72.7
ABalppppapa	109	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA
ABalppppp	42	39.2	39.7	42.5	37.8
ABalpppppa	64	72.5	76.9	72.9	77.2
ABalpppppaa	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA
ABalpppppp	44	52.8	56.9	53.8	49.9
ABalppppppa	89	NA	87.1	NA	83.1
ABalppppppaa	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA
ABalppppppp	89	NA	90.9	NA	73.1
ABalpppppppa	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA
ABar	17	14.7	3.3	5.1	5.8
ABara	21	16.4	16.8	15.4	14.6
ABaraa	29	26.2	27	23.3	22.1
ABaraaa	28	31.1	30.3	31.3	29.4
ABaraaaa	38	46.7	40.6	42.2	41.4
ABaraaaaa	67	51.8	55.7	50.8	50.3
ABaraaaaaa	84	77.3	79.9	70.6	86.5
ABaraaaaaaa	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA
ABaraaaaap	89	86.4	76.2	73.3	86.5
ABaraaaaapa	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA
ABaraaaap	72	57	61	58.7	53.5
ABaraaaapa	79	NA	98.8	84.5	103.2
ABaraaaapaa	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA
ABaraaap	38	36.5	35.4	39.5	33.9
ABaraaapa	48	42.8	41.3	42.7	40.9
ABaraaapaa	73	80	77.1	73.1	79.1
ABaraaapaaa	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA
ABaraaapap	58	61.9	58.8	59.4	59.7
ABaraaapapa	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA
